Longitude,Latitude,Name,Address,Overview,Postal Code
103.851356,1.29,National Gallery Singapore,1 St Andrew's Road,Take in the regionâ€™s newest and largest museum of modern Singapore and Southeast Asian art housed within two of Singaporeâ€™s awe-inspiring national monuments.     EXTERNAL_LINK   http://www.nationalgallery.sg,178957
103.859171,1.302,Sultan Mosque (Masjid Sultan) Singapore,3 Muscat Street,"Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singaporeâ€™s Muslim community.     EXTERNAL_LINK   http://www.sultanmosque.org.sg",199465
103.84538,1.282,Sri Mariamman Temple: Hindu Temple in Singapore,244 South Bridge Road,"Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore.     EXTERNAL_LINK   http://heb.gov.sg/our-subsidiaries/temples/sri-mariamman-temple.aspx",058814
103.84966,1.293,Armenian Church in Singapore,60 Hill Street,The oldest Christian church in Singapore is an architectural masterpiece from the early 19th century.     EXTERNAL_LINK   http://www.armeniansinasia.org/,179365
103.85168,1.295,CHIJMES Singapore,30 Victoria Street,"Whether functioning as a school or a lifestyle and entertainment complex, it appears the beauty of CHIJMES is only equalled by its versatility.     EXTERNAL_LINK   http://chijmes.com.sg/",187996
103.85231,1.292,St Andrewâ€™s Cathedral- Singapore Architecture Landmark,11 St Andrew's Road,Singapore's largest cathedral is a stellar example of colonial-era architecture and heritage.     EXTERNAL_LINK   http://www.livingstreams.org.sg/sac/visitors.html,178959
103.8435853,1.281198,Kreta Ayer Square,Banda Street        050005,EXTERNAL_LINK,050005
103.8534848,1.2995489,Albert Mall Trishaw Park,Queen Street        188542,EXTERNAL_LINK,188970
103.8437924,1.2825533,Chinatown Food Street,Smith Street        058938,EXTERNAL_LINK,058956
103.84435,1.284,"Chinatown Heritage Centre, Singapore",48 Pagoda Street,Experience how Singaporeâ€™s early Chinese migrants once lived and learn more about local Chinese culture at the Chinatown Heritage Centre.     EXTERNAL_LINK   http://www.singaporechinatown.com.sg/,059491
103.84763,1.281,"Thian Hock Keng Temple, Singapore",158 Telok Ayer Street,"Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.     EXTERNAL_LINK   http://www.thianhockkeng.com.sg",068613
103.89942,1.31,Eurasian Heritage Centre: Singapore Attraction,139 Ceylon Road,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.     EXTERNAL_LINK   http://www.eurasians.org.sg/,429744
103.837336,1.277,Shophouses,0,"With many beautifully preserved examples on hand today, the shophouses in Singapore are prime examples of timeless architectural appeal.     EXTERNAL_LINK",088884
103.85157,1.294,Capitol Building Singapore,11 Stamford Road,The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year.     EXTERNAL_LINK   http://www.capitolsingapore.com,178906
103.85528,1.29,Esplanade Theatre,1 Esplanade Drive,This boldly designed performing arts centre has become a memorable part of Singaporeâ€™s skyline.     EXTERNAL_LINK   http://www.esplanade.com,039802
103.80305,1.282,The Interlace,180-226 Depot Road,Thereâ€™s more than meets the eye in The Interlaceâ€™s artful arrangement of residential blocks.     EXTERNAL_LINK   http://www.theinterlace.com,109684
103.846522,1.286,PARKROYAL on Pickering,3 Upper Pickering Street,PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.     EXTERNAL_LINK   http://www.parkroyalhotels.com/en/hotels-resorts/singapore/pickering.html,058285
103.75749,1.419,Kranji War Memorial Landmark in Singapore,9 Woodlands Road,The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.     EXTERNAL_LINK   http://bit.ly/19MZ0SB,738656
103.854217,1.29,Indian National Army (INA) Monument in Singapore,Esplanade Park        0,This marker at Esplanade Park was one of the eleven World War II markers erected in 1995 to commemorate the 50th anniversary of the end of World War II.     EXTERNAL_LINK   http://www.nhb.gov.sg/places/historic-sites/indian-national-army-memorial,179682
103.79433,1.28,Reflections at Bukit Chandu: Singapore War Memorial,31-K Pepys Road,"This heritage centre relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.     EXTERNAL_LINK   http://www.nhb.gov.sg/museums/reflections-at-bukit-chandu",118458
103.853838,1.29,The Cenotaph - a Singapore War Memorial Landmark,"Esplanade Park, Connaught Drive        0",This war memorial in Esplanade Park honours the heroes who fought and died during World War I and World War II.     EXTERNAL_LINK   http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials,179682
103.854618,1.293,The Civilian War Memorial park in Singapore,Bras Basah Road & Beach Road intersection,"Situated at the War Memorial Park in Beach Road, this memorial commemorates civilian victims of the Japanese Occupation in Singapore.     EXTERNAL_LINK   http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/civilian-war-memorial",189768
103.85258,1.308,Sri Veeramakaliamman Temple: Hindu Temple in Singapore,141 Serangoon Road,"Sri Veeramakaliamman Temple is one of Singaporeâ€™s oldest Hindu temples, in the heart of Little India.     EXTERNAL_LINK   http://www.sriveeramakaliamman.com/",218042
103.85081,1.298,Maghain Aboth Synagogue,24/26 Waterloo Street,"The Maghain Aboth Synagogue is a gem in more ways than one, providing both a snapshot of history and a glimpse into a rich culture.     EXTERNAL_LINK   http://www.singaporejews.com",187950
103.85128,1.29,Old Supreme Court Singapore,1 St Andrew's Road,"From dispensing justice to displaying art, the Old Supreme Court undergoes an overhaul for its new role as the National Gallery Singapore.     EXTERNAL_LINK   http://app.supremecourt.gov.sg/",178957
103.8336,1.284,SIT Flats Singapore,Seng Poh Road and Tiong Bahru Road        0,Take a walk back in time through the Art Deco architecture in the heritage neighbourhood of Tiong Bahru.     EXTERNAL_LINK,160063
103.85044,1.281,Lau Pa Sat Singapore,18 Raffles Quay,"The grande dame of markets in Singapore, Lau Pa Sat blends history, striking architecture and scrumptious local food into one heady experience.      EXTERNAL_LINK   http://www.laupasat.biz",048582
103.85986,1.303,"Malay Heritage Centre, Singapore",85 Sultan Gate,The Malay Heritage Centre is a must-visit if youâ€™re keen on learning about the rich heritage and culture of Singaporeâ€™s Malay community.      EXTERNAL_LINK   http://www.malayheritage.org.sg,198501
103.8492,1.294,Peranakan Museum Singapore: History & Culture,39 Armenian Street,"Get to know Singaporeâ€™s vibrant Peranakan community and history at this top-notch museum, filled with fine artefacts and fun exhibits.     EXTERNAL_LINK   http://peranakanmuseum.org.sg/",000617
103.85404,1.296,Raffles Singapore,1 Beach Road,"Hark back to a golden age of elegant refinement and gracious living at Raffles Singapore, where the past reawakens to glorious life.     EXTERNAL_LINK   http://www.raffleshotel.com",188719
103.80459,1.278,Gillman Barracks â€“ YourSingapore,9 Lock Road,A former British military camp is now Asia's new Destination for Contemporary Art.     EXTERNAL_LINK   https://www.gillmanbarracks.com/,108940
103.85929,1.286,ArtScience Museum Singapore,6 Bayfront Ave,Catch world-class touring exhibitions at this premier exhibition space.     EXTERNAL_LINK   http://www.marinabaysands.com/museum.html,018956
103.85168,1.297,SAM at 8Q & Singapore Art Museum,8 Queen Street,"An extension of the Singapore Art Museum, SAM at 8Q features contemporary art exhibitions and is home to a Moving Image Gallery, where film screenings are held.     EXTERNAL_LINK",188534
103.84554,1.283,Jamae Mosque (Masjid Chulia) Singapore,218 South Bridge Road,"Also known as Masjid Chulia, Jamae Mosque is one of Singaporeâ€™s oldest mosques and a prominent landmark in Chinatown since the 1820s.     EXTERNAL_LINK   http://www.masjidjamaechulia.sg/",058775
103.8516,1.303,Institute of Contemporary Arts Singapore,"LASALLE College of the Arts, 1 McNally Street",This experimental art space housed in a tertiary arts college will help you deepen your understanding of contemporary art.     EXTERNAL_LINK   https://www.lasalle.edu.sg/ICAS/About-ICAS,187940
103.863137,1.289,Singapore Flyer,30 Raffles Avenue,"This giant observation wheel offers 360-degree city views, a panorama that stretches to parts of Malaysia and Indonesia on a clear day.     EXTERNAL_LINK   http://www.singaporeflyer.com",039803
103.86081,1.283,Marina Bay SandsÂ®,10 Bayfront Avenue,"A feat of engineering, an architectural statement and a sheer aesthetic triumph, Marina Bay Sands Â®  has upped the ante for buildings in Singapore.     EXTERNAL_LINK   http://www.marinabaysands.com",018971
103.87159,1.281,Marina Barrage,8 Marina Gardens Drive,This innovative facility not only supplies water to Singaporeans and helps alleviate floods but also doubles up as a place for family fun.     EXTERNAL_LINK   https://www.pub.gov.sg/marinabarrage,018951
103.815254,1.276,Henderson Waves Bridge,Henderson Road        0,Lush jungle is broken up with a seriously creative twist in the fantastic form of the Henderson Waves bridge.      EXTERNAL_LINK   http://www.nparks.gov.sg,100059
103.84142,1.275,Pinnacle@Duxton,1 Cantonment Road,The soaring lines and stunning views of majestic residential estate Pinnacle at Duxton will make you forget your fear of heights. Almost.     EXTERNAL_LINK   http://www.pinnacleduxton.com.sg,089768
103.86285,1.303,Hajjah Fatimah Mosque,4001 Beach Road,The Hajjah Fatimah Mosque will captivate you with its intriguing blend of cross-cultural architectural influences.     EXTERNAL_LINK,199584
103.78314,1.286,Haw Par Villa: Singapore Theme Park,262 Pasir Panjang Road,Embark on an unforgettable journey into Chinese folklore and mythology at the Haw Par Villa theme park.      EXTERNAL_LINK,117406
103.83731,1.277,NUS Baba House - Singapore Peranakan Architecture,157 Neil Road,"This heritage house lends rich insight into Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.     EXTERNAL_LINK   http://www.nus.edu.sg/museum/baba",088884
103.841222,1.293,Hong San See Temple Singapore,31 Mohamed Sultan Road,"Restored by expert craftsmen from China, the Hong San See temple has been brought back to its full glory.     EXTERNAL_LINK",238976
103.68398,1.344,"Chinese Heritage Centre, Singapore",12 Nanyang Drive,The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.     EXTERNAL_LINK   http://chc.ntu.edu.sg/,639817
103.8595,1.302,Kampong Glam & Malay Culture in Singapore,3 Muscat Street,"Discover Kampong Glam's rich history, living traditions, excellent eateries and trendy shops in this vibrant neighbourhood.     EXTERNAL_LINK   http://www.kampongglam.org.sg/",199460
103.8045,1.275,Contemporary Arts Center,43 Malan Road,"This university arts research centre explores contemporary art through exhibitions, public programmes, residencies and research programmes.     EXTERNAL_LINK   http://www.ntu.ccasingapore.org/",109443
103.84934,1.294,"The Substation, Singapore Contemporary Art Centre",45 Armenian Street,This experimental arts centre gives a space for contemporary artists to try out new concepts.     EXTERNAL_LINK   http://www.substation.org,179934
103.84572,1.278,"Red Dot Design Museum, Singapore","28 Maxwell Road, Red Dot Traffic","This museum holds more than 1,000 award-winning products, communications and concepts that will delight design fans.     EXTERNAL_LINK   http://museum.red-dot.sg",069113
103.851068,1.297,Singapore Art Museum,71 Bras Basah Road,"Singapore Art Museum is Singaporeâ€™s contemporary art museum, focused on Southeast Asian contemporary art.     EXTERNAL_LINK   http://www.singaporeartmuseum.sg",178899
103.85528,1.29,Esplanade Theatres on the Bay,1 Esplanade Drive,Catch a non-stop line-up of world-class performances at Singaporeâ€™s premier arts centre.     EXTERNAL_LINK   http://www.esplanade.com/index.jsp,039802
103.85351,1.299,"National Design Centre, Singapore",111 Middle Road,"The National Design Centre is the nexus for all things design. It hosts design exhibitions, events and programmes that will quicken the pulse of design lovers.     EXTERNAL_LINK   http://www.designsingapore.org/ndc/About_NDC.aspx",188970
103.851641,1.288,Victoria Theatre Singapore,11 Empress Place,"After a four-year refurbishment, the Victoria Theatre and Concert Hall has since reopened, with its first official concert held there in August 2014.     EXTERNAL_LINK   https://www.nac.gov.sg/arts-spaces/nac-arts-venues",179556
103.772686,1.302,"NUS University Museum, Singapore","50 Kent Ridge Crescent, National University of Singapore",Get a deeper insight into Asian art and artefacts at this museum on the campus of the National University of Singapore.     EXTERNAL_LINK   http://www.nus.edu.sg/cfa/museum/,117485
103.84692,1.328,Sun Yat Sen Memorial Hall,12 Tai Gin Road,This revamped museum is a fitting tribute to the intriguing life and times of Chinese revolutionary leader Dr Sun Yat Sen.     EXTERNAL_LINK   http://www.sysnmh.org.sg,327896
103.851723,1.287,Asian Civilisations Museum & Singapore Museum,1 Empress Place,"Housed in a historical building by the Singapore River, this museum tells the stories of Asian civilisations through its permanent collections.     EXTERNAL_LINK   http://acm.org.sg/",179557
103.84883,1.297,National Museum of Singapore,93 Stamford Road,Singaporeâ€™s oldest museum is a progressive showcase of the countryâ€™s history and culture.     EXTERNAL_LINK   http://nationalmuseum.sg/,178897
103.87584,1.364,The Japanese Cemetery Park,825B Chuan Hoe Avenue,"Located in Hougang, this is the largest Japanese cemetery in Southeast Asia and the burial ground of Singaporeâ€™s early Japanese community.     EXTERNAL_LINK",546934
103.85238,1.287,"Dalhousie Obelisk, a Singapore Landmark",1 Empress Place,Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.     EXTERNAL_LINK,179555
103.850845,1.288,Raffles Statue â€“ Sir Stamford Raffles Landing Site,"Raffles Landing Site , 59 Boat Quay","The sculpture depicts Sir Stamford Raffles, founder of modern Singapore. Two statues exist, at the Raffles Landing Site and Empress Place.     EXTERNAL_LINK",179555
103.8487,1.293,Singapore Philatelic Museum,23-B Coleman Street,The Singapore Philatelic Museum offers windows into Singapore and the world through stamps.     EXTERNAL_LINK   http://spm.org.sg,179807
103.76883,1.352,Old Ford Factory Singapore Museum,351 Upper Bukit Timah Road,The Old Ford Factory holds an archive of memories about Singapore's wartime occupation by the Japanese.     EXTERNAL_LINK   http://www.nas.gov.sg/moff/Home.aspx,588195
103.84452,1.283,Singapore Coins and Notes Museum & Museum Singapore,"40 Pagoda Street, Level 1",The rare collection of currencies on display here tells Singaporeâ€™s story through the money it has used over the years.     EXTERNAL_LINK   http://www.singaporecoinsandnotesmuseum.com/index1.php,059204
103.84513,1.28,Singapore City Gallery,"45 Maxwell Road, The URA Centre",The Singapore City Gallery tells the story of the cityâ€™s physical transformation.     EXTERNAL_LINK   http://www.ura.gov.sg/uol/citygallery.aspx,069118
103.97403,1.362,Changi Museum Singapore,1000 Upper Changi Road North,Changi Museum provides an emotional exploration of Singaporeâ€™s wartime history during the Japanese Occupation.     EXTERNAL_LINK   http://www.changimuseum.sg,507707
103.85439,1.296,MINT Museum of Toys Singapore & Toy Museum,26 Seah Street,This toy museum will delight both adults and kids with the vast collection of vintage toys and memorabilia from around the world.     EXTERNAL_LINK   http://www.emint.com,188387
103.853027,1.288,Lim Bo Seng Memorial,"Esplanade Park, Connaught Drive        0",This gazetted national monument at Esplanade Park commemorates one of Singaporeâ€™s heroes from World War II.     EXTERNAL_LINK   http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials,049215
103.823808,1.254,Universal Studios Singaporeâ„¢ Theme Park,"8 Sentosa Gateway, Sentosa Island",Step into the glamorous world of movies at this world-class theme park located within Resorts World Sentosaâ„¢.     EXTERNAL_LINK   http://www.rwsentosa.com/language/en-US/Homepage/Attractions/UniversalStudiosSingapore,098269
103.735872,1.333,Singapore Science Centre,15 Science Centre Road,This enlightening attraction holds the largest collection of educational materials devoted to science in Singapore.     EXTERNAL_LINK   http://www.science.edu.sg/Pages/SCBHome.aspx,609081
103.84887,1.283,Fuk Tak Chi Museum & Places of Interest,76 Telok Ayer Street,Fuk Tak Chi Museum was once the oldest Chinese temple in Singapore and is an elegant example of restored architecture in Chinatown.     EXTERNAL_LINK   http://www.fareastsquare.com.sg/home/index.aspx?key=fuktakchimuseum,048458
103.90714,1.307,Katong Antique House Singapore: Peranakan Heritage,208 East Coast Road,"Step into this fully restored bona fide Peranakan family home, and admire the many antiques and heirlooms worthy of any museum collection.     EXTERNAL_LINK",429503
103.73,1.339,Chinese Garden Singapore,1 Chinese Garden Road,A tranquil patch of imperial China in the west of Singapore is pleasant respite from the bustle of the city.     EXTERNAL_LINK   http://www.nhb.gov.sg/resources/virtual-exhibitions-and-tours/walking-through-heritage/chinese-garden,609959
103.912187,1.301,East Coast Park Singapore,Along East Coast Parkway and East Coast Park Service Road        0,"With so many attractions packed into this 15-km stretch of beaches, youâ€™ll never run out of things to do.     EXTERNAL_LINK   http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=14&Itemid=371",449876
103.846509,1.295,Fort Canning Park,"Bounded by Hill Street, Canning Rise, Clemenceau Avenue and River Valley Road","Whether youâ€™re a history buff, music fan or nature lover, this historic landmark on a hill is full of surprises.     EXTERNAL_LINK   http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=16Th",179620
103.860523,1.223,"Kusu Island, Singapore",Kusu Island,"If youâ€™re looking for local heritage off the beaten track with a good dash of nature, Kusu Island hits the spot.     EXTERNAL_LINK   http://www.sentosa.com.sg/en/nature/southern-islands/kusu-island/",098586
103.706442,1.319,"Jurong Bird Park, Singapore: Attractions & Things to Do",2 Jurong Hill,"Jurong Bird Park has almost every species to impress avian lovers, along with fun exhibits, interactive shows, and of course, its charming residents.      EXTERNAL_LINK   http://www.birdpark.com.sg",628925
103.799724,1.279,HortPark,33 Hyderabad Road,Lose yourself in this dreamscape of stunning gardens that will make you forget the bustle of city.     EXTERNAL_LINK   http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=17&Itemid=73,119578
103.819525,1.257,Adventure Cove Waterparkâ„¢ Singapore,"8 Sentosa Gateway, Sentosa Island",Make a big splash at this aquatic adventure park at Resorts Worldâ„¢ Sentosa.     EXTERNAL_LINK   http://www.rwsentosa.com/language/en-US/Homepage/Attractions/MarineLifePark/AdventureCoveWaterpark,099636
103.8516,1.303,Lasalle College of the Arts,1 McNally Street,How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.      EXTERNAL_LINK   https://www.lasalle.edu.sg,187940
103.84676,1.288,Singapore River: History & Culture Tours,10 Eu Tong Sen Street,"Get to know historic Singapore River and its famous quays: Boat Quay, Clarke Quay and Robertson Quay. After all, this is where it all began.     EXTERNAL_LINK   http://singapore-river.com/",059407
103.90448,1.306,Joo Chiat/Katong: Singapore Peranakan Neighbourhood,113 East Coast Road,"Discover Peranakan culture as you stroll past heritage shophouses, quaint stores and eateries in this charming corner of eastern Singapore.     EXTERNAL_LINK",428805
103.82809,1.249,"Sentosa Island, Singapore: Leisure & Attractions",33 Allanbrooke Road,"Sentosa Island is Singaporeâ€™s favourite leisure destination with exciting attractions, golden beaches, luxe retreats and the countryâ€™s first integrated resort.     EXTERNAL_LINK   http://www.sentosa.com.sg",099979
103.843771,1.282,Chinatown Singapore: History & Culture,2 Banda Street,"Singaporeâ€™s historic Chinatown is a bustling mix of old and new, filled with traditional shops and markets as well as cool stores and cafes.     EXTERNAL_LINK   http://www.chinatown.sg/",059028
103.84438,1.282,Buddha Tooth Relic Temple & Museum in Singapore,288 South Bridge Road,This Tang-styled Chinese Buddhist temple in Chinatown gets its name from what the Buddhists regard as the Sacred Buddha Tooth Relic.     EXTERNAL_LINK   http://www.btrts.org.sg/,058930
103.801944,1.266,Labrador Nature Reserve,Labrador Villa Road,"With its rich biodiversity and war relics, nature lovers and history enthusiasts will find plenty to do at Labrador Nature Reserve.     EXTERNAL_LINK   http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=naturereserves&id=48",119189
103.856454,1.28,Marina Bay Singapore: Attractions & Things to do,11 Marina Boulevard,"Marina Bay represents all things modern and super-stylish, from trendy dining destinations to exciting leisure spots.     EXTERNAL_LINK   http://www.marina-bay.sg",018940
103.85899,1.284,"Marina Bay Sands, Singapore",10 Bayfront Avenue,"This iconic integrated resort boasts luxury accommodations, upscale shopping and an infinity pool with unparalleled views of the city.      EXTERNAL_LINK   http://www.marinabaysands.com/index.html",018972
103.96371,1.408,Chek Jawa,"Chek Jawa, Pulau Ubin        0","A world away from shopping malls and glitzy hotels, this natural wonder is one of Singaporeâ€™s richest eco-systems.     EXTERNAL_LINK   https://www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/pulau-ubin-and-chek-jawa/what-to-see/about-chek-jawa",508348
103.854552,1.287,"Merlion Park, Singapore: Attractions & Things to Do",One Fullerton,"Half-fish and half-lion, the iconic Merlion resides at the waterfront Merlion Park.      EXTERNAL_LINK",049213
103.86081,1.283,Marina Bay SandsÂ® SkyPark,"Level 57, 10 Bayfront Avenue","The Marina Bay Sands Â®  SkyPark is a roof like no other, perched 200 metres in the air with an infinity pool and observation deck in the clouds.     EXTERNAL_LINK   http://www.marinabaysands.com/sands-skypark.html",018971
103.82033,1.257,"Resorts World Sentosa, Singapore","8 Sentosa Gateway, Sentosa Island",Experience endless excitement at Resorts World Sentosa with a variety of attractions and entertainment hot spots.     EXTERNAL_LINK   http://www.rwsentosa.com,098269
103.817589,1.281,Singapore Garden & Singapore Park,"Henderson Road, Mount Faber Park, Telok Blangah Hill Park",This 10-km stretch of connecting trails lets you walk among the trees to observe a wide variety of flora and fauna in their natural habitat.     EXTERNAL_LINK,159554
103.730149,1.447,Sungei Buloh,301 Neo Tiew Crescent,This ecological wonder will transport you into a world rich in animal and plant life.     EXTERNAL_LINK   https://www.nparks.gov.sg/sbwr,718925
103.819493,1.257,S.E.A. Aquarium,"8 Sentosa Gateway, Sentosa Island","Immerse yourself underwater at the S.E.A. Aquariumâ„¢ and discover more than 100,000 marine animals.     EXTERNAL_LINK   http://www.rwsentosa.com/language/en-US/Homepage/Attractions/MarineLifePark",099636
103.815914,1.314,Singapore Botanic Gardens,1 Cluny Road,"Singaporeâ€™s oldest garden is a treasure trove for plant lovers, or those who simply want to have a good time outdoors.     EXTERNAL_LINK   http://www.sbg.org.sg",259569
103.793023,1.404,Singapore Zoo: Attractions & Things to Do,80 Mandai Lake Road,"Singaporeâ€™s zoo is a beautiful, award-winning wildlife park, where animals can roam freely in their natural habitats.     EXTERNAL_LINK   http://www.zoo.com.sg",729826
103.789423,1.404,River Safari Singapore,80 Mandai Lake Road,"At the River Safari Singapore, meet manatees and monkeys, piranhas and pandas, as they congregate in and around the parkâ€™s waters.     EXTERNAL_LINK   http://www.riversafari.com.sg",729826
103.819206,1.271,Cable Car Singapore & Mount Faber,109 Mount Faber Road        0,Getting to this hilltop dining and entertainment spot at Mount Faber by cable car  is half the fun.     EXTERNAL_LINK   http://www.mountfaber.com.sg/,099203
103.788061,1.402,"Night Safari, Singapore",80 Mandai Lake Road,"Instead of going to a club, pop into another popular nightspot, the Night Safari, and mingle with a different crowd of animals at this special zoo.     EXTERNAL_LINK   http://www.nightsafari.com.sg",729825
103.959261,1.414,Pulau Ubin & Singapore Islands,Pulau Ubin        0,"Gravel roads, lush forests and abundant wildlife â€“ Pulau Ubin is a living showcase of what Singapore was like in the 1960s.     EXTERNAL_LINK   http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=29&Itemid=73",508309
103.84982,1.307,Little India Singapore: History & Culture,60 Bukit Timah Road,Little India is a buzzing historic area that shows off the best of Singaporeâ€™s Indian community from vibrant culture to incredible shopping.     EXTERNAL_LINK   http://www.littleindia.com.sg/,229900
103.83249,1.304,"Orchard Road, Singapore: Asia's Most Famous Shopping Street",437 Orchard Road,"Orchard Road, Asiaâ€™s most famous shopping street, is home to fashion favourites, specialist stores and loads of other lifestyle choices.     EXTERNAL_LINK   http://www.orchardroad.org/",238877
103.822346,1.345,MacRitchie Singapore & Singapore Nature Reserve,MacRitchie Reservoir Park,The attractions around MacRitchie Reservoir is a playground of nature for those who love the outdoors.     EXTERNAL_LINK   http://www.nparks.gov.sg/cms/macritchie.php?option=com_visitorsguide&task=naturereserves&id=49&Itemid=75,288308
103.863613,1.282,Gardens by the Bay,18 Marina Gardens Drive,"This sprawling garden in the city provides mesmerising waterfront views across three gardens, spanning over 101 hectares of reclaimed land.     EXTERNAL_LINK   http://www.gardensbythebay.com.sg/en/home.html",018953
103.85222,1.293,"Civic District, Singapore",150 North Bridge Road,"The Civic District is where Singaporeâ€™s historical, architectural and cultural heritage started.     EXTERNAL_LINK",179100
103.82057,1.265,"HarbourFront, Singapore",81 Telok Blangah Road,"HarbourFront is the place to go if you're hopping on a cruise from Singapore, taking a regional ferry or simply want to eat, shop or relax.     EXTERNAL_LINK   http://www.shba.org.sg/",099253
103.85624,1.301,"Bras Basah.Bugis, Singapore Cultural District",220 Victoria Street,"The Bras Basah.Bugis Precinct is the arts and heritage district in Singapore's civic centre, and home to museums and monuments.     EXTERNAL_LINK   http://www.brasbasahbugis.sg/",188038
